scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Tirumala hamata,5,2020,5,Queensland,Nymphalidae,Tirumala,-27.53,152.69
Danaus plexippus,2,2020,4,Queensland,Nymphalidae,Danaus,-28.155667,153.476095
Eurema smilax,1,2021,4,Queensland,Pieridae,Eurema,-26.584931,151.806986
Erina erina,4,2023,2,Queensland,Lycaenidae,Erina,-27.4847,152.95529
Delias argenthona,1,2020,11,Queensland,Pieridae,Delias,-27.36319,152.75935
Heteronympha merope,1,2022,1,Victoria,Nymphalidae,Heteronympha,-37.82457,145.20932
Pieris rapae,23,2021,3,Victoria,Pieridae,Pieris,-36.59049,143.87334
Phaedyma shepherdi,1,2019,12,Queensland,Nymphalidae,Phaedyma,-17.35574,145.58707
Candalides,1,2021,2,Queensland,Lycaenidae,Candalides,-17.375,145.315
Papilio (Princeps) ulysses,2,2022,7,Queensland,Papilionidae,Papilio,-16.8824,145.6315
Catopsilia pyranthe,2,2022,2,Queensland,Pieridae,Catopsilia,-26.584931,151.806986
Hypocysta pseudirius,2,2023,2,Queensland,Nymphalidae,Hypocysta,-27.4847,152.95529
Toxidia,1,2022,11,New South Wales,Hesperiidae,Toxidia,-33.54726,151.23018
Cressida cressida,1,2022,3,Queensland,Papilionidae,Cressida,-17.25411,145.6022
Nacaduba biocellata,2,2019,11,New South Wales,Lycaenidae,Nacaduba,-35.695888,144.911256
Delias argenthona,1,2020,9,Queensland,Pieridae,Delias,-16.48807,145.46504
Zizina otis,2,2020,12,Victoria,Lycaenidae,Zizina,-38.63991,143.88873
Catochrysops panormus,1,2021,4,Queensland,Lycaenidae,Catochrysops,-17.31233,145.58734
Tirumala hamata,9,2021,2,Queensland,Nymphalidae,Tirumala,-26.584931,151.806986
Psychonotis caelius,1,2020,5,Queensland,Lycaenidae,Psychonotis,-17.31273,145.58705
Cepora perimale,1,2021,2,Queensland,Pieridae,Cepora,-17.1439,144.5251
Heteronympha penelope,12,2023,3,Victoria,Nymphalidae,Heteronympha,-38.6396,143.88812
Papilio (Princeps) ulysses,3,2023,2,Queensland,Papilionidae,Papilio,-17.31275,145.587
Erysichton lineatus,1,2020,4,Queensland,Lycaenidae,Erysichton,-27.5288,153.05803
Catopsilia pomona,1,2021,11,Queensland,Pieridae,Catopsilia,-17.891973,145.454141
Eirmocides absimilis,1,2022,9,New South Wales,Lycaenidae,Eirmocides,-33.62497,151.14892
Phaedyma shepherdi,2,2022,2,Queensland,Nymphalidae,Phaedyma,-27.51374,152.86248
Eurema hecabe,5,2022,5,Queensland,Pieridae,Eurema,-15.3283,145.2828
Pieris rapae,2,2022,12,New South Wales,Pieridae,Pieris,-33.64168,151.12502
Catopsilia pomona,15,2021,2,Queensland,Pieridae,Catopsilia,-17.8378,145.5962
Tisiphone abeona,1,2018,11,New South Wales,Nymphalidae,Tisiphone,-35.6837,150.303
Papilio (Princeps) demoleus,2,2022,10,Queensland,Papilionidae,Papilio,-24.0755,148.05
Euploea corinna,10,2022,1,Queensland,Nymphalidae,Euploea,-17.38864,145.33866
Graphium choredon,1,2022,1,Queensland,Papilionidae,Graphium,-27.38594,153.00272
Junonia villida,9,2020,11,Queensland,Nymphalidae,Junonia,-26.584931,151.806986
Oreisplanus munionga,1,2020,2,Tasmania,Hesperiidae,Oreisplanus,-41.06846,145.55815
Graphium choredon,2,2019,11,Queensland,Papilionidae,Graphium,-27.50933,153.07644
Hypolimnas bolina,10,2020,3,Queensland,Nymphalidae,Hypolimnas,-27.53,152.99
Hypocysta adiante,15,2023,4,Queensland,Nymphalidae,Hypocysta,-17.3809,145.3755
Arrhenes dschilus,1,2023,1,Queensland,Hesperiidae,Arrhenes,-17.3286,145.5046
Delias argenthona,3,2020,10,Queensland,Pieridae,Delias,-26.584931,151.806986
Ocybadistes walkeri,1,2022,10,Queensland,Hesperiidae,Ocybadistes,-24.122977,148.098451
Catopsilia pyranthe,2,2020,7,Queensland,Pieridae,Catopsilia,-26.584931,151.806986
Euploea corinna,2,2019,11,Queensland,Nymphalidae,Euploea,-27.50933,153.07644
Hypolimnas bolina,1,2022,6,Queensland,Nymphalidae,Hypolimnas,-17.31246,145.58725
Ornithoptera euphorion,1,2023,1,Queensland,Papilionidae,Ornithoptera,-17.3286,145.5046
Delias ennia,1,2021,2,Queensland,Pieridae,Delias,-17.31241,145.58727
Ypthima arctous,1,2022,10,Queensland,Nymphalidae,Ypthima,-23.7506,149.1062
Leptotes plinius,4,2019,12,Queensland,Lycaenidae,Leptotes,-27.49735,153.01448
Delias mysis,3,2021,4,Queensland,Pieridae,Delias,-17.31233,145.58734
Delias argenthona,3,2020,9,Queensland,Pieridae,Delias,-26.584931,151.806986
Melanitis leda,2,2020,4,Queensland,Nymphalidae,Melanitis,-28.17207,153.37783
Junonia hedonia,1,2021,4,Queensland,Nymphalidae,Junonia,-17.31241,145.58717
Mycalesis,6,2021,1,Queensland,Nymphalidae,Mycalesis,-17.31264,145.58718
Phaedyma shepherdi,1,2023,8,Queensland,Nymphalidae,Phaedyma,-17.31241,145.58751
Junonia orithya,1,2022,10,Queensland,Nymphalidae,Junonia,-23.7506,149.1062
Papilio (Eleppone) anactus,1,2022,2,Queensland,Papilionidae,Papilio,-26.584931,151.806986
Papilio (Princeps) ulysses,1,2020,2,Queensland,Papilionidae,Papilio,-17.37258,145.70647
Eurema hecabe,2,2020,6,Queensland,Pieridae,Eurema,-26.584931,151.806986
Graphium choredon,1,2020,11,Queensland,Papilionidae,Graphium,-17.31246,145.58727
Ogyris amaryllis,1,2023,5,Queensland,Lycaenidae,Ogyris,-24.86669,152.339865
Pantoporia consimilis,1,2020,5,Queensland,Nymphalidae,Pantoporia,-17.31273,145.58733
Delias nigrina,2,2022,1,Queensland,Pieridae,Delias,-17.4171,145.4478
Belenois java,1,2020,10,New South Wales,Pieridae,Belenois,-33.1362,148.18347
Eurema hecabe,1,2020,9,Queensland,Pieridae,Eurema,-26.584931,151.806986
Melanitis leda,1,2022,3,Queensland,Nymphalidae,Melanitis,-27.11696,152.75309
Papilio (Princeps) ulysses,1,2023,8,Queensland,Papilionidae,Papilio,-17.31283,145.58718
Hypocysta metirius,1,2020,10,New South Wales,Nymphalidae,Hypocysta,-35.08957,150.54818
Euschemon rafflesia,1,2019,12,New South Wales,Hesperiidae,Euschemon,-28.38758,153.0638
Paralucia pyrodiscus,1,2020,4,Queensland,Lycaenidae,Paralucia,-17.4,145.4
Famegana,1,2020,5,Queensland,Lycaenidae,Famegana,-17.4,145.4
Graphium choredon,3,2020,3,Queensland,Papilionidae,Graphium,-27.6192,152.75988
Papilio (Princeps) aegeus,1,2020,12,Queensland,Papilionidae,Papilio,-26.584931,151.806986
Cepora perimale,1,2020,4,Queensland,Pieridae,Cepora,-26.41043,153.05561
